key,translation,locale
customer.profile.order_history,Last Orders,en_US
customer.profile.order_history,Meine letzte Wunscheinkäufe,de_DE
customer.account.no_orders,No orders at the moment,en_US
customer.account.no_orders,Keine Wunscheinkäufe,de_DE
customer.address.updated,Address was successfully updated,en_US
customer.address.updated,Adresse wurde erfolgreich aktualisiert,de_DE
customer.address.delete.success,Address deleted successfully,en_US
customer.address.delete.success,Adresse erfolgreich gelöscht,de_DE
customer.address.added,Address was successfully added,en_US
customer.address.added,Adresse wurde erfolgreich hinzugefügt,de_DE
customer.address.first_name,First Name,en_US
customer.address.first_name,Vorname,de_DE
customer.address.last_name,Last Name,en_US
customer.address.last_name,Nachname,de_DE
customer.address.company,Company,en_US
customer.address.company,Firma,de_DE
customer.address.address1,Street,en_US
customer.address.address1,Straße,de_DE
customer.address.address2,House Number,en_US
customer.address.address2,Hausnummer,de_DE
customer.address.address3,Additional address field,en_US
customer.address.address3,Adresszusatz,de_DE
customer.address.zip_code,Postcode,en_US
customer.address.zip_code,PLZ,de_DE
customer.address.zip_code_invalid,"Dear customer, unfortunately we cannot serve you in your area.",en_US
customer.address.zip_code_invalid,"Sehr geehrter Kunde, leider können wir Sie in Ihrer Nähe nicht bedienen.",de_DE
customer.address.city,City,en_US
customer.address.city,Ort,de_DE
customer.address.country,Country,en_US
customer.address.country,Land,de_DE
customer.address.phone,Phone,en_US
customer.address.phone,Telefon,de_DE
customer.address.is_default_billing,Is default billing address,en_US
customer.address.is_default_billing,Standard Rechnungsadresse,de_DE
customer.address.is_default_shipping,Is default shipping address,en_US
customer.address.is_default_shipping,Standard Lieferadresse,de_DE
customer.address.floor,Floor,en_US
customer.address.floor,Etage,de_DE
customer.address.floor.ug,UG,en_US
customer.address.floor.ug,UG,de_DE
customer.address.floor.eg,GF,en_US
customer.address.floor.eg,EG,de_DE
customer.address.floor.1,1. OG,de_DE
customer.address.floor.1,1. Floor,en_US
customer.address.floor.2,2. OG,de_DE
customer.address.floor.2,2. Floor,en_US
customer.address.floor.3,3. OG,de_DE
customer.address.floor.3,3. Floor,en_US
customer.address.floor.4,4. OG,de_DE
customer.address.floor.4,4. Floor,en_US
customer.address.floor.5,5. OG,de_DE
